Inputs,Simulation Time: 200,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0
 ,life span: ,60,40,35
 ,Breeding Cooldown,800,600,200
 , Mating Threshold,80,85,95
 ,Hunger Threshold,60,60,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,15
2,4,4,17
3,4,4,16
4,4,4,16
5,4,4,17
6,5,4,17
7,5,4,17
8,5,4,16
9,5,4,17
10,5,4,16
11,5,4,16
12,5,4,16
13,5,5,16
14,5,5,16
15,5,5,16
16,5,5,16
17,5,5,15
18,5,5,15
19,5,5,15
20,5,5,15
21,5,5,15
22,5,5,15
23,5,5,15
24,5,6,15
25,5,6,13
26,5,6,13
27,5,6,12
28,5,6,12
29,5,6,12
30,5,6,11
31,5,6,11
32,5,6,11
33,5,6,11
34,5,6,13
35,5,6,7
36,5,6,8
37,5,6,7
38,5,6,7
39,5,6,6
40,5,2,6
41,5,2,6
42,5,2,6
43,5,2,6
44,5,2,5
45,5,2,5
46,5,2,5
47,5,2,4
48,5,2,4
49,5,2,4
50,5,1,5
51,5,1,4
52,5,1,4
53,5,0,4
54,5,0,5
55,5,0,5
56,5,0,5
57,6,0,4
58,6,0,4
59,6,0,4
60,2,0,4
61,2,0,4
62,2,0,4
63,2,0,4
64,2,0,4
65,2,0,4
66,1,0,5
67,1,0,6
68,1,0,6
69,1,0,4
70,1,0,4
71,1,0,4
72,1,0,4
73,1,0,4
74,1,0,4
75,1,0,4
76,1,0,4
77,1,0,4
78,1,0,4
79,1,0,4
80,1,0,5
81,1,0,5
82,1,0,5
83,1,0,5
84,1,0,5
85,1,0,4
86,1,0,4
87,1,0,4
88,1,0,4
89,1,0,3
90,1,0,3
91,1,0,3
92,1,0,3
93,1,0,3
94,1,0,3
95,1,0,3
96,1,0,3
97,1,0,3
98,1,0,4
99,1,0,4
100,1,0,4
101,1,0,3
102,1,0,2
103,1,0,2
104,1,0,2
105,1,0,2
106,1,0,2
107,1,0,2
108,1,0,2
109,1,0,2
110,1,0,2
111,1,0,2
112,1,0,2
113,1,0,3
114,1,0,3
115,1,0,2
116,1,0,2
117,0,0,2
118,0,0,2
119,0,0,2
120,0,0,2
121,0,0,2
122,0,0,2
123,0,0,2
124,0,0,2
125,0,0,2
126,0,0,2
127,0,0,2
128,0,0,2
129,0,0,2
130,0,0,2
131,0,0,2
132,0,0,2
133,0,0,1
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,0,0,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
