Inputs,Simulation Time: 200,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0
 ,life span: ,60,40,35
 ,Breeding Cooldown,800,600,200
 , Mating Threshold,80,85,95
 ,Hunger Threshold,60,60,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,15
2,4,4,18
3,4,4,18
4,4,4,18
5,4,4,18
6,4,4,20
7,4,4,21
8,4,4,21
9,4,4,21
10,4,4,21
11,4,4,20
12,4,4,20
13,4,4,20
14,4,4,21
15,4,4,21
16,4,4,21
17,4,4,21
18,4,4,21
19,4,4,23
20,4,4,24
21,4,4,25
22,4,4,25
23,4,4,24
24,4,4,24
25,4,4,24
26,4,4,23
27,4,4,22
28,4,4,20
29,4,4,21
30,4,4,22
31,5,4,24
32,5,4,26
33,5,4,25
34,5,4,26
35,5,4,18
36,5,4,18
37,5,4,17
38,5,4,18
39,5,4,18
40,5,0,18
41,5,0,17
42,5,0,17
43,6,0,18
44,6,0,20
45,6,0,20
46,6,0,20
47,6,0,20
48,6,0,21
49,6,0,23
50,6,0,23
51,6,0,23
52,6,0,21
53,6,0,21
54,6,0,21
55,6,0,22
56,6,0,22
57,6,0,22
58,6,0,23
59,6,0,24
60,2,0,25
61,2,0,26
62,2,0,26
63,2,0,27
64,2,0,27
65,2,0,28
66,2,0,26
67,2,0,24
68,2,0,24
69,2,0,26
70,2,0,26
71,2,0,26
72,2,0,26
73,2,0,25
74,2,0,26
75,2,0,28
76,2,0,28
77,2,0,27
78,2,0,26
79,2,0,24
80,2,0,24
81,2,0,27
82,2,0,27
83,2,0,27
84,2,0,25
85,2,0,24
86,2,0,24
87,2,0,24
88,2,0,25
89,2,0,24
90,2,0,22
91,1,0,24
92,1,0,24
93,1,0,24
94,1,0,24
95,1,0,23
96,1,0,22
97,1,0,22
98,1,0,22
99,1,0,20
100,1,0,19
101,1,0,20
102,1,0,21
103,0,0,21
104,0,0,18
105,0,0,20
106,0,0,21
107,0,0,20
108,0,0,21
109,0,0,20
110,0,0,18
111,0,0,19
112,0,0,20
113,0,0,20
114,0,0,21
115,0,0,21
116,0,0,19
117,0,0,19
118,0,0,19
119,0,0,18
120,0,0,20
121,0,0,20
122,0,0,20
123,0,0,19
124,0,0,18
125,0,0,18
126,0,0,16
127,0,0,17
128,0,0,16
129,0,0,15
130,0,0,15
131,0,0,16
132,0,0,16
133,0,0,15
134,0,0,16
135,0,0,15
136,0,0,14
137,0,0,13
138,0,0,13
139,0,0,13
140,0,0,12
141,0,0,11
142,0,0,11
143,0,0,10
144,0,0,10
145,0,0,12
146,0,0,11
147,0,0,10
148,0,0,10
149,0,0,9
150,0,0,9
151,0,0,8
152,0,0,8
153,0,0,8
154,0,0,8
155,0,0,7
156,0,0,7
157,0,0,8
158,0,0,8
159,0,0,8
160,0,0,8
161,0,0,8
162,0,0,7
163,0,0,7
164,0,0,7
165,0,0,7
166,0,0,6
167,0,0,6
168,0,0,6
169,0,0,5
170,0,0,6
171,0,0,6
172,0,0,6
173,0,0,6
174,0,0,6
175,0,0,5
176,0,0,5
177,0,0,6
178,0,0,6
179,0,0,6
180,0,0,4
181,0,0,4
182,0,0,4
183,0,0,4
184,0,0,4
185,0,0,4
186,0,0,4
187,0,0,4
188,0,0,4
189,0,0,4
190,0,0,3
191,0,0,3
192,0,0,2
193,0,0,2
194,0,0,2
195,0,0,2
196,0,0,2
197,0,0,2
198,0,0,2
199,0,0,2
200,0,0,2
