Inputs,Map Used: map.txt,Simulation Time: 150,neighbourhood_option: 1,Lions: 5,Wolves: 8,Rabbits: 20,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50,,,,
 ,Breeding Cooldown,1000,600,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,70,70,80,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,5,8,20,,,,,
2,5,8,22,,,,,
3,5,8,22,,,,,
4,5,8,19,,,,,
5,5,8,18,,,,,
6,5,7,16,,,,,
7,5,4,13,,,,,
8,5,4,13,,,,,
9,5,4,13,,,,,
10,5,4,13,,,,,
11,5,3,14,,,,,
12,5,3,15,,,,,
13,5,2,14,,,,,
14,5,1,14,,,,,
15,5,1,14,,,,,
16,5,1,14,,,,,
17,2,0,15,,,,,
18,2,0,15,,,,,
19,3,0,16,,,,,
20,3,0,16,,,,,
21,3,0,15,,,,,
22,3,0,16,,,,,
23,2,0,16,,,,,
24,2,0,16,,,,,
25,2,0,17,,,,,
26,2,0,17,,,,,
27,2,0,16,,,,,
28,2,0,15,,,,,
29,2,0,14,,,,,
30,2,0,16,,,,,
31,2,0,17,,,,,
32,2,0,19,,,,,
33,2,0,20,,,,,
34,2,0,19,,,,,
35,2,0,21,,,,,
36,2,0,21,,,,,
37,2,0,22,,,,,
38,2,0,23,,,,,
39,2,0,21,,,,,
40,2,0,20,,,,,
41,2,0,20,,,,,
42,2,0,20,,,,,
43,2,0,21,,,,,
44,2,0,21,,,,,
45,2,0,22,,,,,
46,2,0,22,,,,,
47,2,0,21,,,,,
48,2,0,20,,,,,
49,2,0,21,,,,,
50,2,0,18,,,,,
51,2,0,18,,,,,
52,2,0,18,,,,,
53,2,0,17,,,,,
54,2,0,16,,,,,
55,2,0,16,,,,,
56,2,0,16,,,,,
57,2,0,16,,,,,
58,2,0,17,,,,,
59,2,0,17,,,,,
60,2,0,17,,,,,
61,2,0,17,,,,,
62,2,0,16,,,,,
63,2,0,16,,,,,
64,2,0,16,,,,,
65,2,0,16,,,,,
66,2,0,17,,,,,
67,2,0,16,,,,,
68,2,0,16,,,,,
69,2,0,17,,,,,
70,2,0,17,,,,,
71,2,0,16,,,,,
72,2,0,16,,,,,
73,2,0,17,,,,,
74,2,0,17,,,,,
75,2,0,16,,,,,
76,2,0,16,,,,,
77,2,0,15,,,,,
78,2,0,15,,,,,
79,2,0,16,,,,,
80,2,0,15,,,,,
81,2,0,14,,,,,
82,3,0,11,,,,,
83,3,0,12,,,,,
84,3,0,12,,,,,
85,3,0,11,,,,,
86,3,0,11,,,,,
87,3,0,10,,,,,
88,3,0,10,,,,,
89,3,0,10,,,,,
90,3,0,11,,,,,
91,3,0,12,,,,,
92,3,0,12,,,,,
93,3,0,11,,,,,
94,3,0,11,,,,,
95,3,0,9,,,,,
96,3,0,9,,,,,
97,3,0,10,,,,,
98,2,0,11,,,,,
99,1,0,9,,,,,
100,1,0,8,,,,,
101,1,0,9,,,,,
102,1,0,9,,,,,
103,1,0,9,,,,,
104,1,0,9,,,,,
105,1,0,9,,,,,
106,1,0,9,,,,,
107,1,0,10,,,,,
108,1,0,10,,,,,
109,1,0,10,,,,,
110,1,0,10,,,,,
111,1,0,10,,,,,
112,1,0,10,,,,,
113,1,0,10,,,,,
114,1,0,11,,,,,
115,1,0,11,,,,,
116,0,0,10,,,,,
117,0,0,11,,,,,
118,0,0,10,,,,,
119,0,0,10,,,,,
120,0,0,10,,,,,
121,0,0,10,,,,,
122,0,0,11,,,,,
123,0,0,10,,,,,
124,0,0,11,,,,,
125,0,0,11,,,,,
126,0,0,11,,,,,
127,0,0,11,,,,,
128,0,0,11,,,,,
129,0,0,10,,,,,
130,0,0,10,,,,,
131,0,0,10,,,,,
132,0,0,9,,,,,
133,0,0,12,,,,,
134,0,0,12,,,,,
135,0,0,13,,,,,
136,0,0,12,,,,,
137,0,0,12,,,,,
138,0,0,12,,,,,
139,0,0,11,,,,,
140,0,0,11,,,,,
141,0,0,10,,,,,
142,0,0,11,,,,,
143,0,0,11,,,,,
144,0,0,12,,,,,
145,0,0,12,,,,,
146,0,0,12,,,,,
147,0,0,12,,,,,
148,0,0,12,,,,,
149,0,0,12,,,,,
150,0,0,12,,,,,
