Inputs,Map Used: map.txt,Simulation Time: 150,neighbourhood_option: 0,Lions: 5,Wolves: 8,Rabbits: 20,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50,,,,
 ,Breeding Cooldown,1000,600,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,70,70,80,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,5,8,19,,,,,
2,5,8,21,,,,,
3,5,8,21,,,,,
4,5,8,20,,,,,
5,5,8,18,,,,,
6,5,2,17,,,,,
7,5,2,15,,,,,
8,5,2,14,,,,,
9,5,3,13,,,,,
10,5,3,13,,,,,
11,5,3,13,,,,,
12,5,3,14,,,,,
13,5,3,13,,,,,
14,5,2,13,,,,,
15,5,1,14,,,,,
16,5,1,14,,,,,
17,2,1,13,,,,,
18,2,1,14,,,,,
19,1,0,14,,,,,
20,1,0,14,,,,,
21,1,0,14,,,,,
22,1,0,15,,,,,
23,1,0,15,,,,,
24,0,0,16,,,,,
25,0,0,16,,,,,
26,0,0,17,,,,,
27,0,0,17,,,,,
28,0,0,17,,,,,
29,0,0,19,,,,,
30,0,0,20,,,,,
31,0,0,21,,,,,
32,0,0,21,,,,,
33,0,0,21,,,,,
34,0,0,21,,,,,
35,0,0,23,,,,,
36,0,0,23,,,,,
37,0,0,24,,,,,
38,0,0,26,,,,,
39,0,0,27,,,,,
40,0,0,27,,,,,
41,0,0,29,,,,,
42,0,0,30,,,,,
43,0,0,33,,,,,
44,0,0,35,,,,,
45,0,0,39,,,,,
46,0,0,39,,,,,
47,0,0,41,,,,,
48,0,0,43,,,,,
49,0,0,45,,,,,
50,0,0,36,,,,,
51,0,0,39,,,,,
52,0,0,42,,,,,
53,0,0,47,,,,,
54,0,0,55,,,,,
55,0,0,59,,,,,
56,0,0,65,,,,,
57,0,0,67,,,,,
58,0,0,70,,,,,
59,0,0,72,,,,,
60,0,0,73,,,,,
61,0,0,71,,,,,
62,0,0,69,,,,,
63,0,0,70,,,,,
64,0,0,70,,,,,
65,0,0,70,,,,,
66,0,0,70,,,,,
67,0,0,71,,,,,
68,0,0,70,,,,,
69,0,0,73,,,,,
70,0,0,71,,,,,
71,0,0,67,,,,,
72,0,0,63,,,,,
73,0,0,59,,,,,
74,0,0,64,,,,,
75,0,0,68,,,,,
76,0,0,70,,,,,
77,0,0,72,,,,,
78,0,0,75,,,,,
79,0,0,81,,,,,
80,0,0,86,,,,,
81,0,0,86,,,,,
82,0,0,88,,,,,
83,0,0,87,,,,,
84,0,0,90,,,,,
85,0,0,99,,,,,
86,0,0,103,,,,,
87,0,0,111,,,,,
88,0,0,117,,,,,
89,0,0,123,,,,,
90,0,0,126,,,,,
91,0,0,124,,,,,
92,0,0,121,,,,,
93,0,0,116,,,,,
94,0,0,116,,,,,
95,0,0,116,,,,,
96,0,0,112,,,,,
97,0,0,101,,,,,
98,0,0,109,,,,,
99,0,0,108,,,,,
100,0,0,112,,,,,
101,0,0,108,,,,,
102,0,0,101,,,,,
103,0,0,93,,,,,
104,0,0,83,,,,,
105,0,0,79,,,,,
106,0,0,77,,,,,
107,0,0,75,,,,,
108,0,0,73,,,,,
109,0,0,73,,,,,
110,0,0,76,,,,,
111,0,0,75,,,,,
112,0,0,79,,,,,
113,0,0,81,,,,,
114,0,0,83,,,,,
115,0,0,80,,,,,
116,0,0,76,,,,,
117,0,0,67,,,,,
118,0,0,66,,,,,
119,0,0,68,,,,,
120,0,0,70,,,,,
121,0,0,71,,,,,
122,0,0,74,,,,,
123,0,0,78,,,,,
124,0,0,73,,,,,
125,0,0,77,,,,,
126,0,0,73,,,,,
127,0,0,72,,,,,
128,0,0,72,,,,,
129,0,0,76,,,,,
130,0,0,80,,,,,
131,0,0,84,,,,,
132,0,0,85,,,,,
133,0,0,88,,,,,
134,0,0,92,,,,,
135,0,0,94,,,,,
136,0,0,91,,,,,
137,0,0,93,,,,,
138,0,0,90,,,,,
139,0,0,84,,,,,
140,0,0,80,,,,,
141,0,0,82,,,,,
142,0,0,88,,,,,
143,0,0,86,,,,,
144,0,0,83,,,,,
145,0,0,78,,,,,
146,0,0,68,,,,,
147,0,0,65,,,,,
148,0,0,63,,,,,
149,0,0,58,,,,,
150,0,0,53,,,,,
